Participant_ID,Age_Group,Cognitive_Level,Game_Session_ID,Time_Spent,Total_Actions,Correct_Responses,Incorrect_Responses,Hint_Usage,Game_Completion_Status,Engagement_Level,Eye_Tracking_Focus_Duration,Touch_Interactions,Facial_Expression_Sentiment,Reaction_Time,Museum_Exhibit_Type,Crowd_Level,Performance_Level
P129,6-8,Early,S129,499,53,27,26,2,1,Medium,18.07,25,Happy,0.71,AR-based,Medium,Struggling
P130,9-12,Advanced,S130,597,43,35,8,5,1,High,23.5,46,Happy,2.52,Physical Display,High,Optimal
P131,9-12,Advanced,S131,153,76,38,38,1,1,Low,29.16,24,Frustrated,1.56,VR-based,High,Disengaged
P132,9-12,Early,S132,411,34,0,34,5,0,Medium,27.47,47,Neutral,0.57,VR-based,High,Struggling
P133,6-8,Advanced,S133,510,87,65,22,5,0,High,6.42,43,Frustrated,2.94,AR-based,Medium,Optimal
P134,6-8,Developing,S134,424,73,63,10,1,0,High,21.21,26,Neutral,0.7,AR-based,Medium,Optimal
P135,6-8,Early,S135,66,40,13,27,4,1,Low,6.4,39,Happy,2.91,AR-based,Low,Disengaged
P136,6-8,Developing,S136,549,61,46,15,1,1,High,9.47,26,Happy,0.6,VR-based,Low,Optimal
P137,9-12,Advanced,S137,268,87,1,86,0,0,High,24.65,28,Neutral,2.68,Physical Display,Low,Struggling
P138,3-5,Developing,S138,586,19,0,19,0,1,Medium,15.18,36,Frustrated,1.69,Physical Display,High,Struggling
P139,9-12,Developing,S139,243,53,0,53,0,0,Medium,8.76,49,Neutral,1.38,Physical Display,Medium,Struggling
P140,3-5,Advanced,S140,373,95,92,3,3,0,Medium,19.92,40,Frustrated,0.62,AR-based,High,Struggling
P141,6-8,Advanced,S141,263,99,68,31,1,0,High,15.36,7,Neutral,1.46,VR-based,Low,Struggling
P142,3-5,Advanced,S142,578,16,2,14,0,1,High,23.78,18,Neutral,2.58,Physical Display,Medium,Struggling
P143,3-5,Developing,S143,596,62,34,28,3,0,High,23.42,42,Happy,0.7,Physical Display,High,Struggling
P144,6-8,Early,S144,422,53,41,12,3,1,High,23.7,19,Frustrated,2.03,VR-based,Low,Optimal
P145,3-5,Developing,S145,391,11,4,7,4,1,Medium,14.21,48,Neutral,1.9,VR-based,High,Struggling
P146,3-5,Early,S146,218,75,31,44,4,1,High,15.41,39,Neutral,0.86,Physical Display,Low,Struggling
P147,3-5,Developing,S147,464,57,56,1,5,1,Medium,24.88,40,Happy,1.48,VR-based,High,Struggling
P148,9-12,Early,S148,318,25,20,5,2,1,High,5.18,13,Frustrated,2.11,Physical Display,Low,Optimal
P149,9-12,Advanced,S149,210,73,31,42,4,1,Medium,29.02,14,Neutral,1.89,Physical Display,Low,Struggling
P150,9-12,Early,S150,353,14,10,4,2,1,High,5.85,39,Happy,0.74,AR-based,High,Optimal
P151,9-12,Advanced,S151,599,74,53,21,1,1,High,19.02,15,Happy,2.61,VR-based,Medium,Optimal
P152,3-5,Developing,S152,554,19,12,7,4,1,Medium,15.22,41,Happy,1.51,VR-based,Low,Struggling
P153,6-8,Early,S153,97,32,6,26,5,1,Medium,5.2,14,Neutral,1.08,AR-based,Medium,Struggling
P154,6-8,Developing,S154,235,39,33,6,4,0,Medium,17.75,18,Happy,2.36,Physical Display,High,Struggling
P155,3-5,Developing,S155,320,96,51,45,5,0,Low,5.87,33,Neutral,1.07,VR-based,Medium,Disengaged
P156,3-5,Developing,S156,579,55,31,24,4,0,Medium,14.41,47,Frustrated,2.13,Physical Display,Medium,Struggling
P157,6-8,Advanced,S157,334,65,27,38,2,0,Medium,23.26,26,Happy,1.47,Physical Display,Medium,Struggling
P158,6-8,Early,S158,147,16,1,15,0,1,Medium,5.03,46,Happy,2.96,AR-based,Medium,Struggling
P159,6-8,Developing,S159,371,96,36,60,1,1,Medium,29.42,41,Frustrated,0.89,VR-based,Low,Struggling
P160,6-8,Advanced,S160,380,60,29,31,0,1,Medium,24.79,15,Frustrated,1.22,VR-based,Low,Struggling
P161,3-5,Early,S161,120,78,26,52,5,1,Low,28.06,10,Neutral,2.35,VR-based,Low,Disengaged
P162,9-12,Early,S162,508,43,8,35,4,1,High,13.0,41,Happy,0.95,AR-based,Medium,Struggling
P163,3-5,Early,S163,584,45,1,44,5,0,Low,17.33,6,Frustrated,0.72,Physical Display,Low,Disengaged
P164,9-12,Developing,S164,108,39,15,24,0,0,Low,29.7,26,Frustrated,2.01,VR-based,High,Disengaged
P165,6-8,Developing,S165,560,46,31,15,1,1,Medium,6.82,32,Happy,1.62,VR-based,Low,Struggling
P166,9-12,Advanced,S166,146,61,14,47,1,0,High,10.92,20,Neutral,0.68,VR-based,Low,Struggling
P167,6-8,Advanced,S167,221,100,5,95,5,0,High,25.63,16,Frustrated,2.37,VR-based,Low,Struggling
P168,6-8,Early,S168,298,77,16,61,4,0,Low,9.08,48,Happy,2.94,Physical Display,Medium,Disengaged
P169,6-8,Developing,S169,461,52,21,31,1,0,Low,23.63,24,Neutral,2.71,Physical Display,Medium,Disengaged
P170,3-5,Developing,S170,508,60,52,8,4,0,High,11.12,39,Happy,2.3,Physical Display,Medium,Optimal
P171,3-5,Early,S171,457,90,64,26,3,0,High,27.71,35,Happy,0.51,Physical Display,Medium,Optimal
P172,3-5,Early,S172,346,85,26,59,2,1,High,16.41,12,Neutral,2.76,AR-based,Low,Struggling
P173,6-8,Advanced,S173,481,99,86,13,2,0,Medium,24.68,45,Neutral,1.48,AR-based,Medium,Struggling
P174,6-8,Developing,S174,171,59,46,13,2,1,High,23.96,22,Frustrated,1.95,VR-based,Low,Optimal
P175,6-8,Early,S175,508,10,1,9,1,0,Medium,23.36,40,Frustrated,1.85,AR-based,Medium,Struggling
P176,3-5,Developing,S176,161,18,2,16,1,0,High,11.65,33,Happy,2.88,AR-based,Low,Struggling
P177,6-8,Early,S177,294,57,42,15,2,0,High,24.19,49,Happy,2.18,Physical Display,Medium,Optimal
P178,3-5,Developing,S178,572,54,15,39,2,1,Medium,13.04,26,Happy,1.94,VR-based,Low,Struggling
P179,6-8,Developing,S179,467,56,40,16,4,0,High,28.48,21,Neutral,2.09,AR-based,Medium,Optimal
P180,9-12,Early,S180,254,15,1,14,0,0,High,5.52,21,Happy,1.88,VR-based,Medium,Struggling
P181,3-5,Developing,S181,556,12,7,5,5,1,Medium,17.48,17,Neutral,2.44,AR-based,Medium,Struggling
P182,6-8,Advanced,S182,421,40,4,36,3,1,Low,25.78,24,Happy,0.6,Physical Display,Medium,Disengaged
P183,3-5,Early,S183,594,76,1,75,4,1,Medium,20.61,31,Frustrated,0.85,VR-based,Low,Struggling
P184,6-8,Developing,S184,77,41,1,40,0,0,High,24.09,12,Neutral,2.49,AR-based,High,Struggling
P185,3-5,Developing,S185,471,94,71,23,1,1,Medium,11.42,32,Frustrated,1.52,AR-based,High,Struggling
P186,6-8,Developing,S186,154,20,8,12,0,1,High,28.86,38,Neutral,1.56,VR-based,Low,Struggling
P187,9-12,Advanced,S187,551,99,11,88,2,0,Low,12.88,37,Frustrated,1.2,AR-based,Medium,Disengaged
P188,6-8,Early,S188,508,80,31,49,2,1,High,29.14,22,Frustrated,0.65,AR-based,High,Struggling
P189,9-12,Advanced,S189,250,89,35,54,2,0,High,18.87,27,Neutral,2.17,AR-based,Low,Struggling
P190,9-12,Early,S190,459,83,62,21,2,1,Low,28.53,5,Happy,2.03,AR-based,Medium,Disengaged
P191,3-5,Early,S191,42,15,10,5,1,1,Medium,19.0,15,Neutral,2.38,AR-based,Low,Disengaged
P192,9-12,Advanced,S192,152,89,19,70,2,1,High,28.84,26,Neutral,0.61,VR-based,High,Struggling
P193,6-8,Developing,S193,285,92,0,92,4,0,Medium,7.5,14,Frustrated,1.82,Physical Display,Low,Struggling
P194,3-5,Early,S194,290,32,14,18,3,1,High,19.3,8,Neutral,1.41,VR-based,Medium,Struggling
P195,9-12,Early,S195,503,70,62,8,1,0,High,6.35,9,Frustrated,0.97,Physical Display,Medium,Optimal
P196,3-5,Developing,S196,269,61,53,8,1,0,Medium,5.13,36,Frustrated,2.73,VR-based,Medium,Struggling
P197,9-12,Advanced,S197,580,63,54,9,4,0,High,5.57,42,Neutral,0.84,VR-based,Low,Optimal
P198,6-8,Developing,S198,59,63,35,28,4,1,Medium,7.32,36,Frustrated,1.84,Physical Display,Low,Disengaged
P199,3-5,Developing,S199,166,10,0,10,0,1,Low,9.78,46,Neutral,0.92,AR-based,Medium,Disengaged
P200,3-5,Advanced,S200,357,14,0,14,2,0,Medium,8.22,26,Happy,2.35,AR-based,Low,Struggling
P201,6-8,Advanced,S201,482,24,16,8,1,0,Low,26.87,22,Frustrated,2.92,VR-based,High,Disengaged
P202,6-8,Developing,S202,352,85,66,19,2,0,High,9.34,38,Frustrated,2.13,VR-based,Low,Optimal
P203,9-12,Early,S203,551,80,58,22,4,1,Medium,15.31,32,Frustrated,2.75,Physical Display,Low,Struggling
P204,6-8,Early,S204,96,65,42,23,4,0,High,10.09,48,Happy,1.04,VR-based,Low,Struggling
P205,9-12,Advanced,S205,33,39,5,34,1,1,High,20.28,9,Neutral,0.81,AR-based,Low,Disengaged
P206,6-8,Advanced,S206,540,56,1,55,3,1,Low,11.4,12,Happy,2.89,AR-based,Low,Disengaged
P207,6-8,Advanced,S207,99,89,50,39,5,0,High,15.44,13,Frustrated,1.77,VR-based,Low,Struggling
P208,6-8,Advanced,S208,184,52,21,31,0,1,High,28.94,40,Happy,2.13,VR-based,Low,Struggling
P209,3-5,Developing,S209,221,86,58,28,0,0,High,24.83,31,Neutral,1.39,VR-based,High,Struggling
P210,9-12,Early,S210,566,63,11,52,3,1,Low,15.43,18,Frustrated,2.2,AR-based,High,Disengaged
P211,9-12,Developing,S211,80,51,29,22,5,1,Medium,17.57,48,Frustrated,1.69,VR-based,High,Struggling
P212,9-12,Developing,S212,470,84,65,19,0,0,Medium,12.34,17,Happy,1.0,AR-based,High,Struggling
P213,9-12,Advanced,S213,458,55,13,42,1,1,High,13.58,45,Happy,1.01,Physical Display,Low,Struggling
P214,3-5,Advanced,S214,242,10,4,6,3,1,Low,18.3,7,Neutral,2.15,AR-based,Medium,Disengaged
P215,9-12,Early,S215,153,78,56,22,2,0,High,13.5,48,Neutral,0.74,Physical Display,Low,Optimal
P216,9-12,Advanced,S216,153,68,61,7,5,0,Medium,13.82,20,Neutral,1.86,Physical Display,High,Struggling
P217,3-5,Developing,S217,92,15,0,15,0,1,Low,27.49,50,Neutral,2.92,Physical Display,Low,Disengaged
P218,6-8,Advanced,S218,130,59,12,47,3,0,High,6.7,32,Neutral,1.13,AR-based,High,Struggling
P219,3-5,Developing,S219,392,34,6,28,0,0,High,11.47,29,Neutral,1.62,Physical Display,High,Struggling
P220,9-12,Developing,S220,565,15,3,12,1,0,High,13.95,45,Frustrated,0.64,Physical Display,High,Struggling
P221,6-8,Developing,S221,360,34,22,12,5,1,High,11.75,32,Frustrated,2.25,VR-based,High,Struggling
P222,3-5,Advanced,S222,354,20,12,8,3,1,High,9.54,13,Neutral,0.56,AR-based,Medium,Struggling
P223,6-8,Early,S223,82,90,36,54,3,0,Low,6.49,11,Happy,2.96,VR-based,High,Disengaged
P224,6-8,Early,S224,366,34,13,21,1,1,High,16.79,46,Happy,0.61,VR-based,High,Struggling
P225,6-8,Advanced,S225,558,16,5,11,2,1,Low,25.08,22,Happy,0.83,Physical Display,High,Disengaged
P226,9-12,Advanced,S226,308,32,20,12,0,1,Medium,17.83,19,Frustrated,0.78,Physical Display,High,Struggling
P227,9-12,Early,S227,152,66,61,5,0,1,Medium,27.5,22,Neutral,2.09,Physical Display,High,Struggling
P228,6-8,Advanced,S228,224,67,3,64,1,1,Medium,14.11,38,Frustrated,2.35,AR-based,Low,Struggling
P229,9-12,Advanced,S229,327,29,12,17,5,1,Low,5.07,50,Neutral,1.6,VR-based,High,Disengaged
P230,9-12,Developing,S230,487,90,16,74,3,0,Medium,13.53,7,Neutral,0.79,AR-based,Medium,Struggling
P231,9-12,Developing,S231,158,26,1,25,1,0,Low,21.89,24,Happy,0.53,AR-based,Medium,Disengaged
P232,6-8,Developing,S232,597,85,18,67,0,0,Medium,7.41,5,Neutral,0.99,VR-based,Medium,Struggling
P233,6-8,Early,S233,347,56,10,46,4,0,Medium,22.47,43,Frustrated,1.35,AR-based,High,Struggling
P234,3-5,Developing,S234,303,32,2,30,2,0,Low,21.11,9,Neutral,1.78,VR-based,Medium,Disengaged
P235,3-5,Developing,S235,200,26,13,13,3,1,Medium,15.68,7,Frustrated,0.63,AR-based,Low,Struggling
P236,6-8,Early,S236,129,90,34,56,2,0,Medium,29.96,7,Frustrated,0.76,Physical Display,High,Struggling
P237,6-8,Advanced,S237,312,84,6,78,4,0,High,17.32,22,Neutral,2.79,AR-based,Low,Struggling
